ShortTractText,GEOID2023Text,GEOID2022Text,ShortTractNum
504200,09110504200,09003504200,5042
504300,09110504300,09003504300,5043
504500,09110504500,09003504500,5045
504100,09110504100,09003504100,5041
504900,09110504900,09003504900,5049
510100,09110510100,09003510100,5101
510200,09110510200,09003510200,5102
510400,09110510400,09003510400,5104
510300,09110510300,09003510300,5103
510700,09110510700,09003510700,5107
510900,09110510900,09003510900,5109
510800,09110510800,09003510800,5108
502300,09110502300,09003502300,5023
502400,09110502400,09003502400,5024
504800,09110504800,09003504800,5048
497700,09110497700,09003497700,4977
500200,09110500200,09003500200,5002
500300,09110500300,09003500300,5003
471200,09110471200,09003471200,4712
511300,09110511300,09003511300,5113
471100,09110471100,09003471100,4711
471500,09110471500,09003471500,4715
473400,09110473400,09003473400,4734
473602,09110473602,09003473602,4736.02
500400,09110500400,09003500400,5004
501200,09110501200,09003501200,5012
501300,09110501300,09003501300,5013
501500,09110501500,09003501500,5015
980100,09110980100,09003980100,9801
502700,09110502700,09003502700,5027
503102,09110503102,09003503102,5031.02
503101,09110503101,09003503101,5031.01
524502,09110524502,09003524502,5245.02
524700,09110524700,09003524700,5247
524400,09110524400,09003524400,5244
524600,09110524600,09003524600,5246
500500,09110500500,09003500500,5005
473100,09110473100,09003473100,4731
473700,09110473700,09003473700,4737
473800,09110473800,09003473800,4738
500900,09110500900,09003500900,5009
503300,09110503300,09003503300,5033
473601,09110473601,09003473601,4736.01
510500,09110510500,09003510500,5105
511000,09110511000,09003511000,5110
511100,09110511100,09003511100,5111
511200,09110511200,09003511200,5112
511400,09110511400,09003511400,5114
496100,09110496100,09003496100,4961
496200,09110496200,09003496200,4962
496300,09110496300,09003496300,4963
501700,09110501700,09003501700,5017
473502,09110473502,09003473502,4735.02
500100,09110500100,09003500100,5001
501800,09110501800,09003501800,5018
510600,09110510600,09003510600,5106
497100,09110497100,09003497100,4971
496400,09110496400,09003496400,4964
496500,09110496500,09003496500,4965
496600,09110496600,09003496600,4966
496700,09110496700,09003496700,4967
471300,09110471300,09003471300,4713
501400,09110501400,09003501400,5014
473501,09110473501,09003473501,4735.01
471400,09110471400,09003471400,4714
496800,09110496800,09003496800,4968
496900,09110496900,09003496900,4969
497000,09110497000,09003497000,4970
524501,09110524501,09003524501,5245.01
497200,09110497200,09003497200,4972
502100,09110502100,09003502100,5021
502800,09110502800,09003502800,5028
502900,09110502900,09003502900,5029
502500,09110502500,09003502500,5025
503000,09110503000,09003503000,5030
502600,09110502600,09003502600,5026
497300,09110497300,09003497300,4973
497400,09110497400,09003497400,4974
497500,09110497500,09003497500,4975
497600,09110497600,09003497600,4976
503700,09110503700,09003503700,5037
503800,09110503800,09003503800,5038
503900,09110503900,09003503900,5039
504000,09110504000,09003504000,5040
503500,09110503500,09003503500,5035
